Cell_ID,Temp_Group,t,V_mea,SOC_mea,V_10,I_m,R,I_flag,T_env,dT,SOC_true,OCV_GITT_true
YX01,10C,30,3.581496238708496,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,0.021104812622070312,1.0,3.4714558124542236
YX01,10C,60,3.5723752975463867,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,0.02526092529296875,1.0,3.4714558124542236
YX01,10C,90,3.5658535957336426,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,-0.033179283142089844,1.0,3.4714558124542236
YX01,10C,120,3.5610835552215576,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,-0.030012130737304688,1.0,3.4714558124542236
YX01,10C,150,3.5574545860290527,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,-0.030305862426757812,1.0,3.4714558124542236
YX01,10C,180,3.554198980331421,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,-0.0692901611328125,1.0,3.4714558124542236
YX01,10C,210,3.551219940185547,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,-0.04435157775878906,1.0,3.4714558124542236
YX01,10C,240,3.548685312271118,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,-0.0056324005126953125,1.0,3.4714558124542236
YX01,10C,270,3.5464465618133545,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,0.02602386474609375,1.0,3.4714558124542236
YX01,10C,300,3.544546127319336,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,0.04874897003173828,1.0,3.4714558124542236
YX01,10C,330,3.5426952838897705,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,0.07304668426513672,1.0,3.4714558124542236
YX01,10C,360,3.541210651397705,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,0.0765085220336914,1.0,3.4714558124542236
YX01,10C,390,3.539771795272827,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,0.05485057830810547,1.0,3.4714558124542236
YX01,10C,420,3.5382437705993652,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,0.08812808990478516,1.0,3.4714558124542236
YX01,10C,450,3.537034034729004,1.0,3.5904295444488525,0.6389484007927504,-0.013981263165026774,1,11.30574893951416,0.08717060089111328,1.0,3.4714558124542236
